"기간","자치구","인구"
2014,"강동구",481332
2015,"종로구",163822
2015,"중구",134329
2015,"용산구",247909
2015,"성동구",305065
2015,"광진구",375180
2015,"동대문구",373824
2015,"중랑구",418620
2015,"성북구",469560
2015,"강북구",334426
2015,"도봉구",353241
2015,"노원구",578221
2015,"은평구",502578
2015,"서대문구",323105
2015,"마포구",398351
2015,"양천구",489010
2015,"강서구",595691
2015,"구로구",454604
2015,"금천구",256167
2015,"영등포구",417811
2015,"동작구",412774
2015,"관악구",529031
2015,"서초구",451258
2015,"강남구",581760
2015,"송파구",667480
2015,"강동구",463321
2016,"종로구",161922
2016,"중구",134409
2016,"용산구",245102
2016,"성동구",307161
2016,"광진구",372104
2016,"동대문구",370312
2016,"중랑구",415677
2016,"성북구",461617
2016,"강북구",330704
2016,"도봉구",350272
2016,"노원구",571212
2016,"은평구",495937
2016,"서대문구",325871
2016,"마포구",390887
2016,"양천구",481845
2016,"강서구",602104
2016,"구로구",449600
2016,"금천구",254654
2016,"영등포구",406779
2016,"동작구",413247
2016,"관악구",525607
2016,"서초구",451477
2016,"강남구",572140
2016,"송파구",664946
2016,"강동구",448471
2017,"종로구",164257
2017,"중구",134593
2017,"용산구",244444
2017,"성동구",312711
2017,"광진구",372298
2017,"동대문구",366011
2017,"중랑구",412780
2017,"성북구",455407
2017,"강북구",328002
2017,"도봉구",346234
2017,"노원구",558075
2017,"은평구",491202
2017,"서대문구",325028
2017,"마포구",385783
2017,"양천구",475018
2017,"강서구",608255
2017,"구로구",441559
2017,"금천구",253491
2017,"영등포구",402024
2017,"동작구",408493
2017,"관악구",520929
2017,"서초구",445401
2017,"강남구",561052
2017,"송파구",671173
2017,"강동구",440359
2018,"종로구",163026
2018,"중구",135633
2018,"용산구",245090
2018,"성동구",316463
2018,"광진구",371063
2018,"동대문구",364338
2018,"중랑구",408147
2018,"성북구",447687
2018,"강북구",322915
2018,"도봉구",341649
2018,"노원구",548160
2018,"은평구",487666
2018,"서대문구",323080
2018,"마포구",386359
2018,"양천구",468145
2018,"강서구",603611
2018,"구로구",438486
2018,"금천구",254021
2018,"영등포구",403600
2018,"동작구",409385
2018,"관악구",520040
2018,"서초구",438163
2018,"강남구",547453
2018,"송파구",673507
2018,"강동구",431920
2019,"종로구",161869
2019,"중구",136488
2019,"용산구",245185
2019,"성동구",308979
2019,"광진구",366972
2019,"동대문구",363023
2019,"중랑구",402024
2019,"성북구",454744
2019,"강북구",317695
2019,"도봉구",335631
2019,"노원구",537303
2019,"은평구",484546
2019,"서대문구",323171
2019,"마포구",385925
2019,"양천구",462285
2019,"강서구",598273
2019,"구로구",439371
2019,"금천구",251820
2019,"영등포구",400986
2019,"동작구",408912
2019,"관악구",517334
2019,"서초구",435107
2019,"강남구",550209
2019,"송파구",682741
2019,"강동구",440390
2020,"종로구",158996
2020,"중구",134635
2020,"용산구",244645
2020,"성동구",300505
2020,"광진구",360109
2020,"동대문구",357014
2020,"중랑구",399562
2020,"성북구",447056
2020,"강북구",311569
2020,"도봉구",327361
2020,"노원구",527032
2020,"은평구",484043
2020,"서대문구",322952
2020,"마포구",381858
2020,"양천구",457781
2020,"강서구",585901
2020,"구로구",432488
2020,"금천구",247835
2020,"영등포구",407367
2020,"동작구",401572
2020,"관악구",509803
2020,"서초구",429025
2020,"강남구",544055
2020,"송파구",673926
2020,"강동구",463998
